age_band,EU,Ireland
16-24,0.490175217,0.490843534
25-34,0.458240333,0.559318668
35-44,0.423837102,0.462789375
45-54,0.393479346,0.382610444
55-64,0.284058223,0.233415901
65+,0.229929893,0.250598987
