age_band,EU,Ireland
16-24,5.40145477,5.708129055
25-34,5.221472944,5.476996533
35-44,5.00120989,5.544675931
45-54,4.879610758,5.012452356
55-64,4.531035328,4.489233519
65+,4.304431903,4.765756763
